"U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1,0,0,0.60349,1,0,0,0,0
1,-5.207e-06,1.8791e-16,0.60348,1,0.00602,0.00602,0,0
1,-1.038e-05,3.1817e-16,0.60345,1,0.01204,0.01204,0,0
1.0001,-1.5534e-05,9.6703e-17,0.60341,1,0.01806,0.01806,0,0
1.0001,-2.0677e-05,-2.2953e-16,0.60335,1,0.02408,0.02408,0,0
1.0002,-2.5793e-05,-6.1147e-16,0.60326,1,0.0301,0.0301,0,0
1.0003,-3.0863e-05,-6.1661e-16,0.60316,1,0.03612,0.03612,0,0
1.0005,-3.5885e-05,-6.0066e-16,0.60304,1,0.04214,0.04214,0,0
1.0006,-4.0855e-05,-4.7063e-16,0.6029,1,0.04816,0.04816,0,0
1.0007,-4.5766e-05,-7.0468e-16,0.60275,1,0.05418,0.05418,0,0
1.0009,-5.0613e-05,-7.5074e-16,0.60258,1,0.0602,0.0602,0,0
1.0011,-5.5379e-05,-1.0257e-15,0.60238,1,0.06622,0.06622,0,0
1.0013,-6.0069e-05,8.8624e-16,0.60218,1,0.07224,0.07224,0,0
1.0016,-6.4676e-05,1.8434e-15,0.60195,1,0.07826,0.07826,0,0
1.0018,-6.9194e-05,1.6655e-15,0.60171,1,0.08428,0.08428,0,0
1.0021,-7.3617e-05,3.6562e-15,0.60145,1,0.0903,0.0903,0,0
1.0023,-7.7932e-05,2.4047e-15,0.60118,1,0.09632,0.09632,0,0
1.0026,-8.2144e-05,3.4396e-15,0.60089,1,0.10234,0.10234,0,0
1.0029,-8.6252e-05,3.7859e-15,0.60059,1,0.10836,0.10836,0,0
1.0032,-9.025e-05,2.414e-15,0.60027,1,0.11438,0.11438,0,0
1.0036,-9.4129e-05,1.7081e-15,0.59993,1,0.1204,0.1204,0,0
1.0039,-9.7884e-05,1.4467e-15,0.59959,1,0.12642,0.12642,0,0
1.0043,-0.00010152,9.3854e-16,0.59923,1,0.13244,0.13244,0,0
1.0047,-0.00010504,5.6376e-16,0.59885,1,0.13846,0.13846,0,0
1.005,-0.00010844,3.9777e-16,0.59847,1,0.14448,0.14448,0,0
1.0054,-0.0001117,-1.236e-16,0.59807,1,0.1505,0.1505,0,0
1.0058,-0.00011484,-5.1921e-17,0.59766,1,0.15652,0.15652,0,0
1.0063,-0.00011785,-4.0552e-17,0.59723,1,0.16254,0.16254,0,0
1.0067,-0.00012073,2.0618e-17,0.5968,1,0.16856,0.16856,0,0
1.0071,-0.0001235,6.3207e-17,0.59636,1,0.17458,0.17458,0,0
1.0076,-0.00012613,-2.6833e-16,0.5959,1,0.1806,0.1806,0,0
1.008,-0.00012863,-4.6548e-16,0.59544,1,0.18662,0.18662,0,0
