# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.0025        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.005         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0075        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.01          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0125        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.015         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0175        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.02          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0225        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.025         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0275        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.03          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0325        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.035         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0375        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.04          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0425        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.045         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0475        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.05          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0525        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.055         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0575        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.06          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0625        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.065         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0675        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.07          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0725        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.075         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0775        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.08          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0825        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.085         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0875        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.09          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0925        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.095         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.0975        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1           	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1025        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.105         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1075        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.11          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1125        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.115         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1175        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.12          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1225        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.125         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1275        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.13          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1325        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.135         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1375        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.14          	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1425        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.145         	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
0.1475        	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
