"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
0.00025341,-0.00025046,0,4.2993e-006,0,0,0
0.00019731,-6.9516e-005,0,-0.0029091,0.005,0,0
-0.00051792,0.00033802,0,-0.0093914,0.01,0,0
-0.0023292,0.00072482,0,-0.015686,0.015,0,0
-0.0049295,0.00096538,0,-0.019421,0.02,0,0
-0.0079239,0.0010538,0,-0.019333,0.025,0,0
-0.010937,0.0010098,0,-0.015004,0.03,0,0
-0.013645,0.00085918,0,-0.0066269,0.035,0,0
-0.015788,0.00062757,0,0.0051786,0.04,0,0
-0.017175,0.00033962,0,0.019495,0.045,0,0
-0.017681,1.9643e-005,0,0.035198,0.05,0,0
-0.017255,-0.00030684,0,0.051035,0.055,0,0
-0.015918,-0.00061192,0,0.065702,0.06,0,0
-0.013778,-0.00086488,0,0.077945,0.065,0,0
-0.011026,-0.0010328,0,0.086682,0.07,0,0
-0.0079411,-0.0010827,0,0.091162,0.075,0,0
-0.004878,-0.00098611,0,0.091148,0.08,0,0
-0.0022436,-0.00072729,0,0.087137,0.085,0,0
-0.00044501,-0.00032339,0,0.080564,0.09,0,0
0.00023216,8.6017e-005,0,0.073976,0.095,0,0
0.00026788,0.0002624,0,0.071069,0.1,0,0
8.7965e-005,-0.00020992,0,0.0028938,0,0.005,0
-0.00032363,0.00033412,0,-6.2697e-005,0.005,0.005,0
-0.0020852,0.0014846,0,-0.0062001,0.01,0.005,0
-0.0055178,0.0025256,0,-0.011679,0.015,0.005,0
-0.010118,0.0031774,0,-0.014745,0.02,0.005,0
-0.015286,0.0034029,0,-0.014424,0.025,0.005,0
-0.020437,0.0032381,0,-0.010352,0.03,0.005,0
-0.025048,0.0027458,0,-0.0026865,0.035,0.005,0
-0.028688,0.0019989,0,0.0080344,0.04,0.005,0
-0.031037,0.0010735,0,0.021002,0.045,0.005,0
-0.031886,4.824e-005,0,0.035215,0.05,0.005,0
-0.031152,-0.00099356,0,0.049552,0.055,0.005,0
-0.028876,-0.0019625,0,0.062845,0.06,0.005,0
-0.025241,-0.0027635,0,0.073973,0.065,0.005,0
-0.020568,-0.0032995,0,0.081975,0.07,0.005,0
-0.015313,-0.0034794,0,0.086191,0.075,0.005,0
-0.010045,-0.0032331,0,0.086423,0.08,0.005,0
-0.0053921,-0.0025348,0,0.083102,0.085,0.005,0
-0.0019742,-0.0014489,0,0.077365,0.09,0.005,0
-0.00026785,-0.00028992,0,0.071137,0.095,0.005,0
0.00011265,0.00024494,0,0.068194,0.1,0.005,0
-0.00030306,0.00046114,0,0.0095604,0,0.01,0
-0.0014824,0.002076,0,0.0059852,0.005,0.01,0
-0.0054016,0.005306,0,-0.00049366,0.01,0.01,0
-0.011999,0.0080716,0,-0.0051891,0.015,0.01,0
-0.020343,0.0097836,0,-0.0074573,0.02,0.01,0
-0.029472,0.010323,0,-0.0068902,0.025,0.01,0
-0.038456,0.0097572,0,-0.0032642,0.03,0.01,0
-0.046443,0.0082446,0,0.0032853,0.035,0.01,0
-0.052725,0.005985,0,0.012328,0.04,0.01,0
-0.056765,0.003199,0,0.023218,0.045,0.01,0
-0.058219,0.00012148,0,0.035146,0.05,0.01,0
-0.056948,-0.0029983,0,0.047194,0.055,0.01,0
-0.053029,-0.0058955,0,0.058404,0.06,0.01,0
-0.046764,-0.0082941,0,0.067852,0.065,0.01,0
-0.038688,-0.0099197,0,0.074745,0.07,0.01,0
-0.029547,-0.010526,0,0.078532,0.075,0.01,0
-0.020257,-0.0099359,0,0.07903,0.08,0.01,0
-0.011819,-0.0081053,0,0.076517,0.085,0.01,0
-0.0052299,-0.0052199,0,0.071557,0.09,0.01,0
-0.0013903,-0.001958,0,0.064985,0.095,0.01,0
-0.00025972,-0.0003607,0,0.061429,0.1,0.01,0
-0.00072847,0.0022859,0,0.01674,0,0.015,0
-0.0027151,0.0056325,0,0.011803,0.005,0.015,0
-0.008824,0.012027,0,0.0034922,0.01,0.015,0
-0.018451,0.017189,0,-0.0017132,0.015,0.015,0
-0.030167,0.020289,0,-0.0040197,0.02,0.015,0
-0.042691,0.021131,0,-0.0035342,0.025,0.015,0
-0.054847,0.019837,0,-0.00020212,0.03,0.015,0
-0.065565,0.016695,0,0.0057881,0.035,0.015,0
-0.073952,0.012088,0,0.014025,0.04,0.015,0
-0.079336,0.0064457,0,0.023933,0.045,0.015,0
-0.081282,0.00023228,0,0.034802,0.05,0.015,0
-0.079615,-0.0060596,0,0.045822,0.055,0.015,0
-0.074428,-0.011909,0,0.056133,0.06,0.015,0
-0.066097,-0.016778,0,0.06489,0.065,0.015,0
-0.055283,-0.020139,0,0.071342,0.07,0.015,0
-0.042922,-0.021521,0,0.074924,0.075,0.015,0
-0.030166,-0.020597,0,0.075374,0.08,0.015,0
-0.018287,-0.017282,0,0.072789,0.085,0.015,0
-0.0086282,-0.011888,0,0.06724,0.09,0.015,0
-0.0025982,-0.0054134,0,0.058764,0.095,0.015,0
-0.00066926,-0.002087,0,0.053821,0.1,0.015,0
-0.0011037,0.0051792,0,0.022323,0,0.02,0
-0.0038589,0.010884,0,0.01578,0.005,0.02,0
-0.012084,0.021403,0,0.0050733,0.01,0.02,0
-0.024641,0.029435,0,-0.0012079,0.015,0.02,0
-0.039548,0.034049,0,-0.003918,0.02,0.02,0
-0.055195,0.035057,0,-0.0036024,0.025,0.02,0
-0.070193,0.032681,0,-0.00036988,0.03,0.02,0
-0.083306,0.02739,0,0.005508,0.035,0.02,0
-0.09352,0.019786,0,0.013592,0.04,0.02,0
-0.10008,0.010548,0,0.023323,0.045,0.02,0
-0.10248,0.00040748,0,0.034032,0.05,0.02,0
-0.10054,-0.0098607,0,0.044952,0.055,0.02,0
-0.094329,-0.019438,0,0.055253,0.06,0.02,0
-0.084263,-0.027478,0,0.064092,0.065,0.02,0
-0.071071,-0.033148,0,0.070679,0.07,0.02,0
-0.055811,-0.035703,0,0.074359,0.075,0.02,0
-0.039819,-0.034604,0,0.074735,0.08,0.02,0
-0.024619,-0.029667,0,0.071722,0.085,0.02,0
-0.011927,-0.021252,0,0.064971,0.09,0.02,0
-0.0037354,-0.010561,0,0.053944,0.095,0.02,0
-0.0010327,-0.0048618,0,0.047322,0.1,0.02,0
-0.0014433,0.0090473,0,0.024842,0,0.025,0
-0.0049354,0.017731,0,0.016653,0.005,0.025,0
-0.015218,0.033325,0,0.0034298,0.01,0.025,0
-0.03064,0.044662,0,-0.004062,0.015,0.025,0
-0.048637,0.050854,0,-0.0072126,0.02,0.025,0
-0.067257,0.051828,0,-0.0069535,0.025,0.025,0
-0.084905,0.047998,0,-0.0035455,0.03,0.025,0
-0.10022,0.040063,0,0.0026472,0.035,0.025,0
-0.1121,0.02889,0,0.011136,0.04,0.025,0
-0.11974,0.015431,0,0.021352,0.045,0.025,0
-0.12263,0.00070228,0,0.032633,0.05,0.025,0
-0.12052,-0.014222,0,0.04422,0.055,0.025,0
-0.11349,-0.028208,0,0.055269,0.06,0.025,0
-0.10193,-0.040075,0,0.064893,0.065,0.025,0
-0.086599,-0.048644,0,0.072209,0.07,0.025,0
-0.068621,-0.052833,0,0.076421,0.075,0.025,0
-0.049486,-0.05181,0,0.076957,0.08,0.025,0
-0.030972,-0.045192,0,0.073535,0.085,0.025,0
-0.01521,-0.033273,0,0.065424,0.09,0.025,0
-0.0048418,-0.017345,0,0.051625,0.095,0.025,0
-0.0013708,-0.0086137,0,0.043216,0.1,0.025,0
-0.0017739,0.013847,0,0.023138,0,0.03,0
-0.005997,0.026137,0,0.013292,0.005,0.03,0
-0.018326,0.047761,0,-0.0024601,0.01,0.03,0
-0.036587,0.062832,0,-0.011124,0.015,0.03,0
-0.057609,0.070632,0,-0.014575,0.02,0.03,0
-0.079078,0.071338,0,-0.014112,0.025,0.03,0
-0.099212,0.065655,0,-0.010145,0.03,0.03,0
-0.11655,0.054593,0,-0.0031395,0.035,0.03,0
-0.12996,0.039322,0,0.0063552,0.04,0.03,0
-0.13863,0.021087,0,0.017741,0.045,0.03,0
-0.14202,0.0011934,0,0.030346,0.05,0.03,0
-0.13989,-0.018993,0,0.043394,0.055,0.03,0
-0.13225,-0.038024,0,0.056004,0.06,0.03,0
-0.11946,-0.054373,0,0.067204,0.065,0.03,0
-0.10222,-0.066475,0,0.075978,0.07,0.03,0
-0.081688,-0.072839,0,0.081337,0.075,0.03,0
-0.059468,-0.072233,0,0.082488,0.08,0.03,0
-0.037588,-0.063934,0,0.078912,0.085,0.03,0
-0.018641,-0.048031,0,0.069487,0.09,0.03,0
-0.0059941,-0.025795,0,0.052782,0.095,0.03,0
-0.001719,-0.013341,0,0.042483,0.1,0.03,0
-0.0021201,0.019587,0,0.01612,0,0.035,0
-0.0070968,0.036113,0,0.004591,0.005,0.035,0
-0.021512,0.064721,0,-0.01367,0.01,0.035,0
-0.042616,0.083916,0,-0.023341,0.015,0.035,0
-0.066581,0.093295,0,-0.026797,0.02,0.035,0
-0.090731,0.09344,0,-0.025724,0.025,0.035,0
-0.11312,0.085479,0,-0.020699,0.03,0.035,0
-0.13225,0.070819,0,-0.012297,0.035,0.035,0
-0.14699,0.050977,0,-0.0011404,0.04,0.035,0
-0.15658,0.027503,0,0.012141,0.045,0.035,0
-0.16051,0.0019708,0,0.026857,0.05,0.035,0
-0.1585,-0.023988,0,0.042212,0.055,0.035,0
-0.15053,-0.048637,0,0.05727,0.06,0.035,0
-0.13683,-0.070109,0,0.07096,0.065,0.035,0
-0.11802,-0.086425,0,0.082091,0.07,0.035,0
-0.09519,-0.095605,0,0.089432,0.075,0.035,0
-0.069998,-0.09588,0,0.091899,0.08,0.035,0
-0.044702,-0.086011,0,0.08867,0.085,0.035,0
-0.022391,-0.065688,0,0.078152,0.09,0.035,0
-0.0072741,-0.036031,0,0.058428,0.095,0.035,0
-0.0021133,-0.019115,0,0.046096,0.1,0.035,0
-0.0025059,0.026322,0,0.0025899,0,0.04,0
-0.0082863,0.047726,0,-0.010675,0.005,0.04,0
-0.024875,0.084247,0,-0.031405,0.01,0.04,0
-0.048824,0.10787,0,-0.041785,0.015,0.04,0
-0.075583,0.11869,0,-0.044772,0.02,0.04,0
-0.10211,0.11788,0,-0.042514,0.025,0.04,0
-0.12637,0.10717,0,-0.035792,0.03,0.04,0
-0.14687,0.088462,0,-0.025314,0.035,0.04,0
-0.1626,0.06366,0,-0.011776,0.04,0.04,0
-0.17291,0.034612,0,0.0041657,0.045,0.04,0
-0.17735,0.0031243,0,0.021817,0.05,0.04,0
-0.17566,-0.028966,0,0.040372,0.055,0.04,0
-0.16771,-0.059692,0,0.058854,0.06,0.04,0
-0.1536,-0.086879,0,0.076083,0.065,0.04,0
-0.13374,-0.10813,0,0.090675,0.07,0.04,0
-0.10907,-0.12088,0,0.1011,0.075,0.04,0
-0.081181,-0.12268,0,0.10589,0.08,0.04,0
-0.052494,-0.11154,0,0.10381,0.085,0.04,0
-0.026623,-0.086476,0,0.092642,0.09,0.04,0
-0.0087638,-0.048254,0,0.069817,0.095,0.04,0
-0.0025905,-0.026084,0,0.055266,0.1,0.04,0
-0.0029597,0.034154,0,-0.01891,0,0.045,0
-0.0096234,0.061089,0,-0.03399,0.005,0.045,0
-0.028508,0.1064,0,-0.057105,0.01,0.045,0
-0.055265,0.13459,0,-0.067708,0.015,0.045,0
-0.084523,0.14651,0,-0.069514,0.02,0.045,0
-0.1129,0.14422,0,-0.065274,0.025,0.045,0
-0.13835,0.13023,0,-0.056039,0.03,0.045,0
-0.15954,0.10704,0,-0.042679,0.035,0.045,0
-0.17569,0.077013,0,-0.025962,0.04,0.045,0
-0.18633,0.042251,0,-0.0065533,0.045,0.045,0
-0.19118,0.004722,0,0.014885,0.05,0.045,0
-0.18999,-0.033624,0,0.037577,0.055,0.045,0
-0.18255,-0.070686,0,0.060539,0.06,0.045,0
-0.16873,-0.10406,0,0.082507,0.065,0.045,0
-0.14866,-0.13096,0,0.10189,0.07,0.045,0
-0.12293,-0.14819,0,0.11682,0.075,0.045,0
-0.092915,-0.15241,0,0.12534,0.08,0.045,0
-0.06106,-0.14057,0,0.12564,0.085,0.045,0
-0.03148,-0.11066,0,0.11457,0.09,0.045,0
-0.010551,-0.062749,0,0.088657,0.095,0.045,0
-0.0031941,-0.034469,0,0.071675,0.1,0.045,0
-0.0035258,0.043245,0,-0.05026,0,0.05,0
-0.011191,0.076369,0,-0.067249,0.005,0.05,0
-0.032525,0.13123,0,-0.092558,0.01,0.05,0
-0.061958,0.16384,0,-0.10259,0.015,0.05,0
