"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
6.0143e-005,-6.0639e-005,-4.6211e-007,1.6281e-005,0,0,0
0.00010789,-5.8881e-005,1.2903e-005,-0.00057076,0.0025,0,0
0.00015638,-3.2293e-005,5.738e-005,-0.0025261,0.005,0,0
8.199e-005,2.1961e-005,0.00013032,-0.0057346,0.0075,0,0
-0.00014816,7.8842e-005,0.00021704,-0.00955,0.01,0,0
-0.00052984,0.00012945,0.00030426,-0.013388,0.0125,0,0
-0.0010426,0.00017078,0.00038229,-0.016821,0.015,0,0
-0.0016606,0.0002022,0.0004442,-0.019545,0.0175,0,0
-0.0023569,0.00022404,0.00048521,-0.02135,0.02,0,0
-0.0031047,0.00023695,0.00050229,-0.022101,0.0225,0,0
-0.0038784,0.0002417,0.00049378,-0.021726,0.025,0,0
-0.0046543,0.00023907,0.00045914,-0.020202,0.0275,0,0
-0.0054104,0.00022982,0.00039874,-0.017544,0.03,0,0
-0.0061271,0.0002147,0.00031366,-0.013801,0.0325,0,0
-0.0067865,0.00019441,0.00020563,-0.0090476,0.035,0,0
-0.0073732,0.00016965,7.685e-005,-0.0033814,0.0375,0,0
-0.0078737,0.00014109,-7.0023e-005,0.003081,0.04,0,0
-0.0082767,0.0001094,-0.00023199,0.010207,0.0425,0,0
-0.0085733,7.5261e-005,-0.00040573,0.017852,0.045,0,0
-0.0087566,3.9358e-005,-0.00058771,0.025859,0.0475,0,0
-0.0088222,2.401e-006,-0.00077418,0.034064,0.05,0,0
-0.0087681,-3.487e-005,-0.00096127,0.042296,0.0525,0,0
-0.0085946,-7.1683e-005,-0.001145,0.050381,0.055,0,0
-0.0083047,-0.00010723,-0.0013215,0.058147,0.0575,0,0
-0.0079041,-0.00014066,-0.0014868,0.065421,0.06,0,0
-0.0074011,-0.00017111,-0.0016373,0.072042,0.0625,0,0
-0.0068071,-0.00019768,-0.0017695,0.077857,0.065,0,0
-0.0061358,-0.00021947,-0.0018803,0.082731,0.0675,0,0
-0.005404,-0.00023559,-0.0019671,0.086551,0.07,0,0
-0.0046311,-0.00024517,-0.0020279,0.089229,0.0725,0,0
-0.0038388,-0.00024737,-0.0020616,0.090712,0.075,0,0
-0.0030509,-0.00024143,-0.0020679,0.090988,0.0775,0,0
-0.0022933,-0.00022666,-0.0020475,0.09009,0.08,0,0
-0.001593,-0.00020251,-0.0020025,0.088109,0.0825,0,0
-0.0009775,-0.00016864,-0.0019364,0.085203,0.085,0,0
-0.00047368,-0.00012513,-0.0018547,0.081607,0.0875,0,0
-0.00010594,-7.3125e-005,-0.0017648,0.077652,0.09,0,0
0.0001079,-1.6134e-005,-0.0016769,0.073782,0.0925,0,0
0.00016753,3.6482e-005,-0.0016042,0.070585,0.095,0,0
0.00011024,5.9939e-005,-0.0014419,0.068683,0.0975,0,0
6.0107e-005,5.9872e-005,-0.0013102,0.068128,0.1,0,0
5.9264e-005,-0.00010901,-1.4022e-005,0.00061395,0,0.0025,0
8.6533e-005,-8.6129e-005,-6.4269e-007,2.4405e-005,0.0025,0.0025,0
5.1407e-005,1.2003e-005,4.3665e-005,-0.0018026,0.005,0.0025,0
-0.00019716,0.00017546,0.00011528,-0.0046718,0.0075,0.0025,0
-0.00069889,0.00034827,0.0001995,-0.0080505,0.01,0.0025,0
-0.0014486,0.00050642,0.00028409,-0.011445,0.0125,0.0025,0
-0.0024173,0.00063931,0.00035971,-0.014479,0.015,0.0025,0
-0.0035652,0.00074281,0.00041943,-0.016877,0.0175,0.0025,0
-0.0048478,0.0008161,0.00045835,-0.018442,0.02,0.0025,0
-0.0062199,0.00085995,0.00047323,-0.019046,0.0225,0.0025,0
-0.007637,0.00087596,0.00046224,-0.018616,0.025,0.0025,0
-0.009057,0.00086616,0.00042468,-0.017125,0.0275,0.0025,0
-0.010441,0.00083278,0.00036079,-0.014583,0.03,0.0025,0
-0.011752,0.00077816,0.0002716,-0.011032,0.0325,0.0025,0
-0.012958,0.00070472,0.00015879,-0.0065388,0.035,0.0025,0
-0.014031,0.00061486,2.4587e-005,-0.0011926,0.0375,0.0025,0
-0.014947,0.00051105,-0.0001283,0.004899,0.04,0.0025,0
-0.015683,0.00039575,-0.0002968,0.011613,0.0425,0.0025,0
-0.016225,0.0002715,-0.00047749,0.018813,0.045,0.0025,0
-0.016559,0.00014088,-0.0006667,0.026352,0.0475,0.0025,0
-0.016677,6.566e-006,-0.00086055,0.034077,0.05,0.0025,0
-0.016576,-0.00012868,-0.001055,0.041826,0.0525,0.0025,0
-0.016257,-0.000262,-0.001246,0.049437,0.055,0.0025,0
-0.015725,-0.00039041,-0.0014295,0.056747,0.0575,0.0025,0
-0.014991,-0.00051086,-0.0016014,0.063596,0.06,0.0025,0
-0.014071,-0.00062022,-0.0017579,0.069833,0.0625,0.0025,0
-0.012985,-0.00071535,-0.0018955,0.075316,0.065,0.0025,0
-0.011759,-0.00079313,-0.0020111,0.07992,0.0675,0.0025,0
-0.010423,-0.00085053,-0.002102,0.083542,0.07,0.0025,0
-0.0090118,-0.00088469,-0.0021664,0.086103,0.0725,0.0025,0
-0.0075653,-0.00089301,-0.0022031,0.087558,0.075,0.0025,0
-0.0061256,-0.00087327,-0.0022119,0.087899,0.0775,0.0025,0
-0.004738,-0.00082377,-0.0021937,0.087163,0.08,0.0025,0
-0.0034491,-0.00074356,-0.0021508,0.085439,0.0825,0.0025,0
-0.0023055,-0.00063279,-0.002087,0.082877,0.085,0.0025,0
-0.0013512,-0.0004935,-0.0020077,0.079695,0.0875,0.0025,0
-0.00062396,-0.00033114,-0.0019204,0.076193,0.09,0.0025,0
-0.0001488,-0.00015766,-0.0018348,0.072761,0.0925,0.0025,0
7.4834e-005,1.9195e-006,-0.0017634,0.0699,0.095,0.0025,0
9.3408e-005,9.2154e-005,-0.0015748,0.068128,0.0975,0.0025,0
6.0823e-005,0.00011031,-0.0014167,0.067574,0.1,0.0025,0
3.5074e-005,-0.00016034,-5.8864e-005,0.0025886,0,0.005,0
-7.4155e-006,-5.2821e-005,-4.5141e-005,0.0018594,0.0025,0.005,0
-0.00027085,0.00027639,-4.6001e-007,1.5827e-005,0.005,0.005,0
-0.0009222,0.00075216,6.8039e-005,-0.0024499,0.0075,0.005,0
-0.0019964,0.0012528,0.00014493,-0.0052179,0.01,0.005,0
-0.0034817,0.001717,0.00022104,-0.0079576,0.0125,0.005,0
-0.0053343,0.002113,0.00028842,-0.010383,0.015,0.005,0
-0.0074904,0.0024253,0.00034089,-0.012272,0.0175,0.005,0
-0.0098766,0.0026484,0.00037385,-0.013459,0.02,0.005,0
-0.012416,0.0027822,0.00038415,-0.013829,0.0225,0.005,0
-0.01503,0.0028297,0.00036987,-0.013315,0.025,0.005,0
-0.017645,0.0027961,0.00033016,-0.011886,0.0275,0.005,0
-0.02019,0.0026875,0.00026512,-0.0095443,0.03,0.005,0
-0.022601,0.0025109,0.00017559,-0.0063213,0.0325,0.005,0
-0.024818,0.0022735,6.311e-005,-0.002272,0.035,0.005,0
-0.026789,0.0019832,-7.0234e-005,0.0025284,0.0375,0.005,0
-0.02847,0.0016476,-0.00022186,0.0079871,0.04,0.005,0
-0.029822,0.0012749,-0.00038879,0.013996,0.0425,0.005,0
-0.030814,0.00087321,-0.00056769,0.020437,0.045,0.005,0
-0.031425,0.00045113,-0.00075496,0.027179,0.0475,0.005,0
-0.031639,1.7384e-005,-0.0009468,0.034085,0.05,0.005,0
-0.031451,-0.000419,-0.0011392,0.041012,0.0525,0.005,0
-0.030862,-0.00084869,-0.0013282,0.047817,0.055,0.005,0
-0.029883,-0.0012621,-0.0015098,0.054354,0.0575,0.005,0
-0.028534,-0.0016493,-0.0016801,0.060483,0.06,0.005,0
-0.026844,-0.0020005,-0.0018353,0.066069,0.0625,0.005,0
-0.024851,-0.0023056,-0.001972,0.070991,0.065,0.005,0
-0.022601,-0.0025549,-0.0020872,0.075139,0.0675,0.005,0
-0.020149,-0.0027391,-0.0021785,0.078427,0.07,0.005,0
-0.017559,-0.0028495,-0.0022442,0.08079,0.0725,0.005,0
-0.014901,-0.0028785,-0.0022831,0.082192,0.075,0.005,0
-0.01225,-0.0028201,-0.0022954,0.082633,0.0775,0.005,0
-0.0096854,-0.00267,-0.002282,0.082152,0.08,0.005,0
-0.0072891,-0.0024271,-0.0022453,0.08083,0.0825,0.005,0
-0.0051399,-0.0020941,-0.0021889,0.0788,0.085,0.005,0
-0.003311,-0.00168,-0.002118,0.076247,0.0875,0.005,0
-0.0018625,-0.0012035,-0.0020392,0.073411,0.09,0.005,0
-0.00083268,-0.00070015,-0.0019609,0.070592,0.0925,0.005,0
-0.00022447,-0.00023346,-0.0018925,0.068132,0.095,0.005,0
8.1012e-006,7.5544e-005,-0.0016773,0.066354,0.0975,0.005,0
3.9743e-005,0.00017056,-0.0014926,0.065673,0.1,0.005,0
-1.6323e-005,-9.2841e-005,-0.00013299,0.0058511,0,0.0075,0
-0.00016698,0.00019044,-0.00011749,0.0047609,0.0025,0.0075,0
-0.00074389,0.00092588,-6.8097e-005,0.002451,0.005,0.0075,0
-0.0018786,0.0018799,1.8083e-006,-6.5495e-005,0.0075,0.0075,0
-0.003571,0.0028679,7.3854e-005,-0.002659,0.01,0.0075,0
-0.0057928,0.0037854,0.00014259,-0.0051334,0.0125,0.0075,0
-0.0084859,0.0045722,0.00020196,-0.0072707,0.015,0.0075,0
-0.011568,0.0051959,0.00024711,-0.0088959,0.0175,0.0075,0
-0.014945,0.0056422,0.00027437,-0.0098775,0.02,0.0075,0
-0.018514,0.0059082,0.00028115,-0.010121,0.0225,0.0075,0
-0.022174,0.0059978,0.00026582,-0.0095697,0.025,0.0075,0
-0.025826,0.0059198,0.00022766,-0.0081959,0.0275,0.0075,0
-0.029373,0.0056859,0.00016672,-0.0060019,0.03,0.0075,0
-0.032728,0.0053097,8.373e-005,-0.0030143,0.0325,0.0075,0
-0.035811,0.004806,-1.9972e-005,0.00071896,0.035,0.0075,0
-0.03855,0.0041907,-0.00014254,0.0051313,0.0375,0.0075,0
-0.040883,0.0034801,-0.00028167,0.01014,0.04,0.0075,0
-0.042758,0.0026911,-0.0004347,0.015649,0.0425,0.0075,0
-0.044134,0.0018414,-0.00059863,0.021551,0.045,0.0075,0
-0.04498,0.00094876,-0.00077021,0.027727,0.0475,0.0075,0
-0.045275,3.1932e-005,-0.00094597,0.034055,0.05,0.0075,0
-0.045012,-0.00088996,-0.0011223,0.040404,0.0525,0.0075,0
-0.044192,-0.0017972,-0.0012956,0.046643,0.055,0.0075,0
