"U:0","U:1","U:2","p","Points:0","Points:1","Points:2"
9.4073e-006,-9.7096e-006,0,-3.4175e-009,0,0,0
1.6578e-005,-9.0914e-006,0,-4.8647e-006,0.00125,0,0
2.2567e-005,-4.3477e-006,0,-2.0227e-005,0.0025,0,0
7.9756e-006,4.3129e-006,0,-4.4305e-005,0.00375,0,0
-3.125e-005,1.2937e-005,0,-7.2149e-005,0.005,0,0
-9.3727e-005,2.0396e-005,0,-9.9872e-005,0.00625,0,0
-0.00017611,2.6415e-005,0,-0.00012493,0.0075,0,0
-0.00027484,3.1079e-005,0,-0.0001456,0.00875,0,0
-0.00038658,3.4587e-005,0,-0.00016079,0.01,0,0
-0.00050838,3.7155e-005,0,-0.0001699,0.01125,0,0
-0.00063776,3.8976e-005,0,-0.00017261,0.0125,0,0
-0.00077268,4.0214e-005,0,-0.00016885,0.01375,0,0
-0.00091148,4.1003e-005,0,-0.00015863,0.015,0,0
-0.0010528,4.145e-005,0,-0.00014208,0.01625,0,0
-0.0011957,4.164e-005,0,-0.00011934,0.0175,0,0
-0.0013393,4.1638e-005,0,-9.059e-005,0.01875,0,0
-0.001483,4.1493e-005,0,-5.5979e-005,0.02,0,0
-0.0016262,4.1235e-005,0,-1.5649e-005,0.02125,0,0
-0.0017685,4.0886e-005,0,3.0277e-005,0.0225,0,0
-0.0019096,4.0459e-005,0,8.17e-005,0.02375,0,0
-0.002049,3.9958e-005,0,0.00013854,0.025,0,0
-0.0021865,3.9379e-005,0,0.00020075,0.02625,0,0
-0.0023218,3.8715e-005,0,0.00026827,0.0275,0,0
-0.0024544,3.7955e-005,0,0.00034108,0.02875,0,0
-0.002584,3.7084e-005,0,0.00041916,0.03,0,0
-0.0027101,3.6086e-005,0,0.00050246,0.03125,0,0
-0.0028323,3.4944e-005,0,0.00059094,0.0325,0,0
-0.00295,3.3638e-005,0,0.00068456,0.03375,0,0
-0.0030626,3.215e-005,0,0.00078322,0.035,0,0
-0.0031695,3.0462e-005,0,0.00088683,0.03625,0,0
-0.0032699,2.8558e-005,0,0.00099521,0.0375,0,0
-0.0033633,2.6421e-005,0,0.0011082,0.03875,0,0
-0.0034486,2.404e-005,0,0.0012255,0.04,0,0
-0.0035253,2.1405e-005,0,0.0013469,0.04125,0,0
-0.0035923,1.8509e-005,0,0.001472,0.0425,0,0
-0.003649,1.535e-005,0,0.0016003,0.04375,0,0
-0.0036944,1.1932e-005,0,0.0017314,0.045,0,0
-0.0037277,8.2623e-006,0,0.0018647,0.04625,0,0
-0.0037483,4.3561e-006,0,0.0019996,0.0475,0,0
-0.0037554,2.3356e-007,0,0.0021353,0.04875,0,0
-0.0037484,-4.0783e-006,0,0.0022711,0.05,0,0
-0.0037268,-8.5461e-006,0,0.0024062,0.05125,0,0
-0.0036902,-1.3129e-005,0,0.0025397,0.0525,0,0
-0.0036383,-1.7782e-005,0,0.0026707,0.05375,0,0
-0.003571,-2.2451e-005,0,0.0027981,0.055,0,0
-0.0034884,-2.708e-005,0,0.0029212,0.05625,0,0
-0.0033907,-3.1608e-005,0,0.0030387,0.0575,0,0
