# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	9.129573e-09	3.547253e+02	-1.362923e-06	-6.723321e-07	-6.905912e-07
0.01          	-1.515404e-06	-1.801478e+01	-4.734601e-06	-3.882705e-06	-8.518964e-07
0.015         	1.653166e-06	9.702033e+00	1.771627e-06	2.538980e-06	-7.673522e-07
0.02          	3.322415e-06	6.015659e+00	3.205756e-06	4.925293e-06	-1.719536e-06
0.025         	5.244240e-06	5.477555e+00	5.054657e-06	7.771569e-06	-2.716912e-06
0.03          	5.550980e-06	4.921657e+00	3.674482e-06	7.388221e-06	-3.713739e-06
0.035         	5.301335e-06	4.516035e+00	4.540375e-06	7.571522e-06	-3.031148e-06
0.04          	5.224171e-06	4.193449e+00	3.574116e-06	7.011228e-06	-3.437113e-06
0.045         	6.264638e-06	3.930048e+00	4.917960e-06	8.723618e-06	-3.805658e-06
0.05          	6.359844e-06	3.710159e+00	4.819858e-06	8.769773e-06	-3.949915e-06
0.055         	6.092794e-06	3.523110e+00	4.884810e-06	8.535199e-06	-3.650389e-06
0.06          	5.682156e-06	3.361768e+00	4.912408e-06	8.138360e-06	-3.225952e-06
0.065         	5.225907e-06	3.221000e+00	4.917428e-06	7.684621e-06	-2.767193e-06
0.07          	6.270973e-06	3.096749e+00	5.703466e-06	9.122706e-06	-3.419240e-06
0.075         	6.808796e-06	2.986717e+00	5.746510e-06	9.682051e-06	-3.935541e-06
0.08          	6.847365e-06	2.888324e+00	6.305335e-06	1.000003e-05	-3.694698e-06
0.085         	6.655544e-06	2.799812e+00	6.654847e-06	9.982968e-06	-3.328121e-06
0.09          	6.352287e-06	2.719764e+00	6.915764e-06	9.810168e-06	-2.894405e-06
0.095         	5.998494e-06	2.647027e+00	7.074376e-06	9.535682e-06	-2.461306e-06
0.1           	5.627160e-06	2.580648e+00	7.104997e-06	9.179658e-06	-2.074662e-06
0.105         	5.256480e-06	2.519815e+00	7.345307e-06	8.929134e-06	-1.583827e-06
0.11          	4.896466e-06	2.463852e+00	7.428030e-06	8.610481e-06	-1.182451e-06
0.115         	4.552439e-06	2.412202e+00	7.395357e-06	8.250117e-06	-8.547602e-07
0.12          	5.458653e-06	2.364077e+00	7.605706e-06	9.261506e-06	-1.655800e-06
0.125         	5.808850e-06	2.319798e+00	8.054309e-06	9.836004e-06	-1.781695e-06
0.13          	5.899930e-06	2.278570e+00	8.417350e-06	1.010861e-05	-1.691255e-06
0.135         	5.847666e-06	2.240123e+00	8.717744e-06	1.020654e-05	-1.488794e-06
0.14          	5.916332e-06	2.204168e+00	8.527878e-06	1.018027e-05	-1.652393e-06
0.145         	5.827673e-06	2.170519e+00	9.421011e-06	1.053818e-05	-1.117168e-06
0.15          	5.663345e-06	2.138952e+00	9.491273e-06	1.040898e-05	-9.177082e-07
0.155         	5.458513e-06	2.109285e+00	9.705486e-06	1.031126e-05	-6.057706e-07
0.16          	5.232073e-06	2.081360e+00	9.826443e-06	1.014529e-05	-3.188512e-07
0.165         	4.995268e-06	2.055036e+00	9.928965e-06	9.959751e-06	-3.078592e-08
0.17          	4.755133e-06	2.030186e+00	1.001303e-05	9.761650e-06	2.513830e-07
0.175         	4.516196e-06	2.006699e+00	1.005426e-05	9.543325e-06	5.109339e-07
0.18          	4.281409e-06	1.984468e+00	1.004524e-05	9.304030e-06	7.412121e-07
0.185         	4.052697e-06	1.963400e+00	1.010021e-05	9.102803e-06	9.974091e-07
0.19          	3.831288e-06	1.943414e+00	1.007095e-05	8.866761e-06	1.204186e-06
0.195         	3.617927e-06	1.924434e+00	1.005910e-05	8.647476e-06	1.411622e-06
0.2           	4.335798e-06	1.906002e+00	9.837785e-06	9.254691e-06	5.830942e-07
0.205         	4.686103e-06	1.888923e+00	1.031840e-05	9.845303e-06	4.730965e-07
0.21          	4.856841e-06	1.872614e+00	1.063363e-05	1.017366e-05	4.599742e-07
