# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.953792e+01 1.465070e-07 3.991719e-26) (8.690660e-01 -1.273906e-09 4.871415e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.073761e-18 -4.667624e-19 -6.155558e-17) (8.374132e-19 -2.998357e-20 7.864374e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((-2.819841e+00 -6.312398e-07 1.030784e-25) (6.101773e-01 1.030991e-07 -6.233351e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((2.967429e-19 6.846930e-20 -1.543497e-16) (-1.203613e-19 -1.561795e-20 -1.251875e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((1.137115e+00 5.078326e-07 -1.056033e-25) (3.965160e-01 -1.831484e-08 2.861215e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.210654e-19 -2.710277e-20 -1.147571e-16) (4.884830e-20 -1.119135e-20 -1.320807e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.915586e-01 1.855551e-07 -3.018266e-25) (3.468438e-01 -8.403471e-08 6.749205e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.056634e-20 -4.462628e-21 2.335473e-16) (8.232989e-21 -9.533688e-21 3.717676e-08) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.460698e-01 2.287863e-07 2.080668e-25) (2.992971e-01 -1.341559e-07 1.056193e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.705000e-20 -8.150468e-21 -3.658657e-16) (1.492243e-20 -8.290276e-21 1.042059e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.709255e-01 1.792309e-07 -4.475225e-25) (2.704417e-01 -1.689497e-07 8.606214e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.890956e-20 -6.411279e-21 4.738201e-16) (1.163030e-20 -7.480438e-21 1.548745e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.574277e-01 1.499663e-07 4.356316e-25) (2.480669e-01 -1.973167e-07 8.342404e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.746074e-20 -6.095439e-21 -5.311892e-16) (1.105474e-20 -6.866150e-21 1.980963e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.367957e-01 1.230786e-07 -5.535376e-25) (2.308575e-01 -2.139456e-07 7.651013e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.521707e-20 -5.622812e-21 6.495659e-16) (1.014956e-20 -6.390435e-21 2.328317e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.225210e-01 4.954406e-08 6.526850e-25) (2.169145e-01 -2.196441e-07 7.346741e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.367585e-20 -5.291623e-21 -6.727271e-16) (9.530556e-21 -6.005141e-21 2.486563e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.102518e-01 6.670279e-08 -6.470281e-25) (2.053709e-01 -2.242243e-07 6.851447e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.234452e-20 -5.008906e-21 7.821248e-16) (8.994772e-21 -5.686452e-21 2.654492e-07) (0.000000e+00 0.000000e+00 0.000000e+00))
