# Force coefficients
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e-01
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
0.005         	-1.159242e-10	3.343264e+02	3.398681e-06	1.699225e-06	1.699456e-06
0.01          	-4.784375e-08	1.201583e+01	-4.092989e-06	-2.094338e-06	-1.998651e-06
0.015         	-4.122191e-08	1.566024e+01	1.165211e-06	5.413837e-07	6.238275e-07
0.02          	-4.532892e-08	1.414610e+01	3.774033e-07	1.433727e-07	2.340306e-07
0.025         	-4.743528e-08	1.306730e+01	3.053153e-07	1.052224e-07	2.000929e-07
0.03          	-4.826842e-08	1.214851e+01	2.193524e-07	6.140776e-08	1.579446e-07
0.035         	-4.815936e-08	1.135218e+01	2.604762e-07	8.207873e-08	1.783975e-07
0.04          	-4.740131e-08	1.065638e+01	1.690073e-07	3.710233e-08	1.319050e-07
0.045         	-4.615317e-08	1.004526e+01	1.943663e-07	5.102996e-08	1.433363e-07
0.05          	-4.461995e-08	9.506497e+00	1.836203e-07	4.719019e-08	1.364301e-07
0.055         	-4.293048e-08	9.029871e+00	1.713864e-07	4.276274e-08	1.286237e-07
0.06          	-4.117275e-08	8.606642e+00	1.571190e-07	3.738675e-08	1.197322e-07
0.065         	-3.940835e-08	8.229511e+00	1.449041e-07	3.304369e-08	1.118604e-07
0.07          	-3.768074e-08	7.892266e+00	1.370061e-07	3.082232e-08	1.061838e-07
0.075         	-3.601806e-08	7.589611e+00	1.294327e-07	2.869829e-08	1.007344e-07
0.08          	-3.443664e-08	7.317067e+00	1.485043e-07	3.981552e-08	1.086888e-07
0.085         	-3.295534e-08	7.070975e+00	1.274975e-07	3.079340e-08	9.670408e-08
0.09          	-2.646903e-08	6.847943e+00	2.276043e-07	8.733312e-08	1.402712e-07
0.095         	-2.102995e-08	6.645038e+00	2.569135e-07	1.074268e-07	1.494867e-07
0.1           	-1.648703e-08	6.460001e+00	2.356746e-07	1.013502e-07	1.343243e-07
0.105         	-1.270608e-08	6.290686e+00	2.335871e-07	1.040875e-07	1.294997e-07
0.11          	-9.573538e-09	6.135351e+00	2.596528e-07	1.202529e-07	1.393999e-07
0.115         	-6.987783e-09	5.992414e+00	2.732542e-07	1.296393e-07	1.436149e-07
0.12          	-4.863110e-09	5.860505e+00	2.465916e-07	1.184327e-07	1.281589e-07
0.125         	-3.128771e-09	5.738375e+00	2.425161e-07	1.181293e-07	1.243868e-07
0.13          	-1.727538e-09	5.625058e+00	2.420766e-07	1.193108e-07	1.227659e-07
0.135         	2.137088e-08	5.519603e+00	2.549021e-07	1.488219e-07	1.060801e-07
0.14          	4.042036e-08	5.421267e+00	2.865295e-07	1.836851e-07	1.028444e-07
0.145         	5.603718e-08	5.329449e+00	2.763898e-07	1.942321e-07	8.215773e-08
0.15          	6.876200e-08	5.243416e+00	2.829744e-07	2.102492e-07	7.272519e-08
0.155         	7.904004e-08	5.162613e+00	2.919190e-07	2.249995e-07	6.691945e-08
0.16          	8.724765e-08	5.086531e+00	2.983484e-07	2.364219e-07	6.192655e-08
0.165         	9.370554e-08	5.014830e+00	3.262007e-07	2.568059e-07	6.939479e-08
0.17          	9.868542e-08	4.947131e+00	3.181514e-07	2.577611e-07	6.039031e-08
0.175         	1.024254e-07	4.883042e+00	3.197049e-07	2.622778e-07	5.742707e-08
0.18          	1.051205e-07	4.822459e+00	3.316549e-07	2.709479e-07	6.070701e-08
0.185         	1.069482e-07	4.764911e+00	3.211553e-07	2.675258e-07	5.362948e-08
0.19          	1.080471e-07	4.710167e+00	3.336773e-07	2.748857e-07	5.879155e-08
0.195         	1.085352e-07	4.658003e+00	3.459319e-07	2.815012e-07	6.443073e-08
0.2           	1.085149e-07	4.608282e+00	3.340808e-07	2.755553e-07	5.852546e-08
0.205         	1.080725e-07	4.560850e+00	3.319580e-07	2.740515e-07	5.790656e-08
0.21          	1.072824e-07	4.515525e+00	3.427382e-07	2.786515e-07	6.408674e-08
0.215         	1.062078e-07	4.472145e+00	3.338945e-07	2.731551e-07	6.073944e-08
0.22          	1.049002e-07	4.430617e+00	3.331654e-07	2.714829e-07	6.168247e-08
0.225         	1.034058e-07	4.390816e+00	3.334405e-07	2.701260e-07	6.331448e-08
0.23          	1.017639e-07	4.352738e+00	3.585616e-07	2.810447e-07	7.751687e-08
0.235         	1.000084e-07	4.316007e+00	3.164798e-07	2.582483e-07	5.823148e-08
0.24          	9.816269e-08	4.280677e+00	3.552242e-07	2.757748e-07	7.944940e-08
0.245         	9.624596e-08	4.246711e+00	3.397496e-07	2.661208e-07	7.362886e-08
0.25          	9.428090e-08	4.213958e+00	3.356840e-07	2.621229e-07	7.356109e-08
0.255         	9.228266e-08	4.182427e+00	3.374683e-07	2.610168e-07	7.645151e-08
0.26          	9.026561e-08	4.152020e+00	3.337931e-07	2.571622e-07	7.663095e-08
0.265         	8.824115e-08	4.122666e+00	3.316629e-07	2.540726e-07	7.759031e-08
0.27          	8.621829e-08	4.094296e+00	3.419917e-07	2.572141e-07	8.477757e-08
0.275         	8.420495e-08	4.066945e+00	3.259710e-07	2.471904e-07	7.878053e-08
0.28          	8.221057e-08	4.040449e+00	3.224983e-07	2.434597e-07	7.903859e-08
0.285         	8.023800e-08	4.014915e+00	3.249273e-07	2.427016e-07	8.222564e-08
0.29          	7.829366e-08	3.990089e+00	3.180072e-07	2.372973e-07	8.070997e-08
0.295         	7.637719e-08	3.966050e+00	3.130723e-07	2.329134e-07	8.015898e-08
0.3           	7.449182e-08	3.942761e+00	3.116992e-07	2.303414e-07	8.135776e-08
0.305         	7.263970e-08	3.920146e+00	3.083105e-07	2.267949e-07	8.151555e-08
0.31          	7.082196e-08	3.898231e+00	3.057438e-07	2.236939e-07	8.204995e-08
0.315         	6.904098e-08	3.876967e+00	3.024265e-07	2.202542e-07	8.217229e-08
0.32          	6.729707e-08	3.856302e+00	2.973742e-07	2.159842e-07	8.139004e-08
0.325         	6.559068e-08	3.836243e+00	2.975786e-07	2.143800e-07	8.319860e-08
0.33          	6.392253e-08	3.816744e+00	2.871999e-07	2.075225e-07	7.967739e-08
0.335         	6.229252e-08	3.797810e+00	2.958149e-07	2.102000e-07	8.561495e-08
0.34          	6.070122e-08	3.779360e+00	2.783358e-07	1.998691e-07	7.846669e-08
0.345         	5.914630e-08	3.761485e+00	2.805245e-07	1.994086e-07	8.111596e-08
0.35          	5.763127e-08	3.744035e+00	2.878767e-07	2.015696e-07	8.630707e-08
0.355         	5.615465e-08	3.727144e+00	2.766932e-07	1.945012e-07	8.219195e-08
0.36          	5.471648e-08	3.710602e+00	2.739534e-07	1.916932e-07	8.226022e-08
0.365         	5.331374e-08	3.694498e+00	2.741972e-07	1.904123e-07	8.378484e-08
0.37          	5.194588e-08	3.678778e+00	2.700368e-07	1.869643e-07	8.307250e-08
0.375         	5.061145e-08	3.663479e+00	2.764551e-07	1.888390e-07	8.761610e-08
0.38          	4.931114e-08	3.648562e+00	2.713662e-07	1.849942e-07	8.637194e-08
0.385         	4.804387e-08	3.634014e+00	2.695366e-07	1.828122e-07	8.672443e-08
0.39          	4.680892e-08	3.619823e+00	2.671015e-07	1.803597e-07	8.674185e-08
0.395         	4.560557e-08	3.605976e+00	2.681037e-07	1.796574e-07	8.844626e-08
0.4           	4.443296e-08	3.592442e+00	2.653494e-07	1.771077e-07	8.824173e-08
0.405         	4.329006e-08	3.579231e+00	2.629371e-07	1.747586e-07	8.817849e-08
0.41          	4.217636e-08	3.566338e+00	2.600103e-07	1.721815e-07	8.782881e-08
0.415         	4.109126e-08	3.553743e+00	2.584841e-07	1.703333e-07	8.815078e-08
0.42          	4.003385e-08	3.541398e+00	2.667925e-07	1.734301e-07	9.336243e-08
0.425         	3.900277e-08	3.529385e+00	2.495708e-07	1.637882e-07	8.578265e-08
0.43          	3.799813e-08	3.517621e+00	2.586360e-07	1.673161e-07	9.131986e-08
0.435         	3.701899e-08	3.506104e+00	2.547489e-07	1.643934e-07	9.035544e-08
0.44          	3.606423e-08	3.494862e+00	2.515068e-07	1.618176e-07	8.968916e-08
0.445         	3.513435e-08	3.483889e+00	2.496410e-07	1.599549e-07	8.968616e-08
0.45          	3.422913e-08	3.473221e+00	2.518652e-07	1.601618e-07	9.170349e-08
0.455         	3.334871e-08	3.462670e+00	2.533824e-07	1.600399e-07	9.334252e-08
0.46          	3.248982e-08	3.452357e+00	2.477423e-07	1.563610e-07	9.138136e-08
0.465         	3.165241e-08	3.442264e+00	2.407837e-07	1.520443e-07	8.873943e-08
0.47          	3.083582e-08	3.432384e+00	2.402047e-07	1.509382e-07	8.926653e-08
0.475         	3.003961e-08	3.422710e+00	2.377291e-07	1.489041e-07	8.882491e-08
0.48          	2.926324e-08	3.413232e+00	2.255214e-07	1.420240e-07	8.349748e-08
0.485         	2.850628e-08	3.403952e+00	2.276669e-07	1.423397e-07	8.532715e-08
0.49          	2.776815e-08	3.394857e+00	2.363117e-07	1.459240e-07	9.038769e-08
0.495         	2.704815e-08	3.385936e+00	2.251512e-07	1.396237e-07	8.552743e-08
0.5           	2.634603e-08	3.377206e+00	2.607778e-07	1.567349e-07	1.040429e-07
0.505         	2.566092e-08	3.368630e+00	2.255682e-07	1.384450e-07	8.712319e-08
0.51          	2.499317e-08	3.360230e+00	2.466138e-07	1.483001e-07	9.831375e-08
0.515         	2.434143e-08	3.351994e+00	2.225775e-07	1.356302e-07	8.694734e-08
0.52          	2.370577e-08	3.343918e+00	2.374206e-07	1.424161e-07	9.500456e-08
0.525         	2.308585e-08	3.335996e+00	2.253481e-07	1.357599e-07	8.958819e-08
0.53          	2.248097e-08	3.328226e+00	2.250542e-07	1.350080e-07	9.004611e-08
0.535         	2.189110e-08	3.320604e+00	2.154774e-07	1.296298e-07	8.584762e-08
0.54          	2.131584e-08	3.313141e+00	2.181489e-07	1.303903e-07	8.775861e-08
0.545         	2.075507e-08	3.305812e+00	2.165623e-07	1.290362e-07	8.752607e-08
0.55          	2.744879e-08	3.298501e+00	1.214851e-07	8.819136e-08	3.329377e-08
0.555         	3.325642e-08	3.291394e+00	1.385842e-07	1.025485e-07	3.603570e-08
0.56          	3.829164e-08	3.284422e+00	1.515099e-07	1.140466e-07	3.746332e-08
0.565         	4.269698e-08	3.277569e+00	1.607715e-07	1.230828e-07	3.768879e-08
0.57          	4.655289e-08	3.270824e+00	1.718479e-07	1.324769e-07	3.937108e-08
0.575         	6.515542e-08	3.264240e+00	1.007767e-07	1.155438e-07	-1.476708e-08
0.58          	8.169317e-08	3.257794e+00	1.236975e-07	1.435419e-07	-1.984439e-08
0.585         	9.640810e-08	3.251401e+00	1.513685e-07	1.720924e-07	-2.072384e-08
0.59          	1.094978e-07	3.245159e+00	1.695315e-07	1.942635e-07	-2.473204e-08
0.595         	1.211445e-07	3.239022e+00	1.883293e-07	2.153091e-07	-2.697986e-08
0.6           	1.314947e-07	3.233019e+00	2.058788e-07	2.344341e-07	-2.855529e-08
0.605         	1.406917e-07	3.227088e+00	2.277741e-07	2.545788e-07	-2.680468e-08
0.61          	1.488528e-07	3.221216e+00	2.351599e-07	2.664328e-07	-3.127287e-08
0.615         	1.560965e-07	3.215438e+00	2.523407e-07	2.822669e-07	-2.992614e-08
0.62          	1.625183e-07	3.209799e+00	2.627653e-07	2.939009e-07	-3.113559e-08
0.625         	1.681880e-07	3.204250e+00	2.786038e-07	3.074899e-07	-2.888611e-08
0.63          	1.731830e-07	3.198789e+00	2.867183e-07	3.165422e-07	-2.982386e-08
0.635         	1.775712e-07	3.193417e+00	2.948944e-07	3.250184e-07	-3.012402e-08
0.64          	1.814123e-07	3.188138e+00	3.255248e-07	3.441747e-07	-1.864997e-08
0.645         	1.847586e-07	3.182931e+00	3.167615e-07	3.431393e-07	-2.637780e-08
0.65          	1.876614e-07	3.177789e+00	3.201502e-07	3.477365e-07	-2.758632e-08
0.655         	1.901678e-07	3.172698e+00	3.533875e-07	3.668615e-07	-1.347403e-08
0.66          	1.923138e-07	3.167744e+00	3.303651e-07	3.574964e-07	-2.713129e-08
0.665         	1.941260e-07	3.162862e+00	3.429116e-07	3.655817e-07	-2.267019e-08
0.67          	1.956363e-07	3.158054e+00	3.429924e-07	3.671325e-07	-2.414012e-08
0.675         	1.968739e-07	3.153312e+00	3.562305e-07	3.749892e-07	-1.875871e-08
0.68          	1.978632e-07	3.148650e+00	3.453346e-07	3.705305e-07	-2.519592e-08
0.685         	1.986277e-07	3.144043e+00	3.655881e-07	3.814217e-07	-1.583360e-08
0.69          	1.991862e-07	3.139518e+00	3.535852e-07	3.759789e-07	-2.239361e-08
0.695         	1.995592e-07	3.135066e+00	3.737511e-07	3.864347e-07	-1.268362e-08
0.7           	1.997621e-07	3.130669e+00	3.525019e-07	3.760131e-07	-2.351113e-08
0.705         	1.998087e-07	3.126308e+00	3.811826e-07	3.904000e-07	-9.217385e-09
0.71          	1.997208e-07	3.122009e+00	3.455339e-07	3.724877e-07	-2.695386e-08
0.715         	1.995072e-07	3.117820e+00	4.302238e-07	4.146191e-07	1.560465e-08
0.72          	1.991802e-07	3.113681e+00	4.066154e-07	4.024879e-07	4.127549e-09
0.725         	1.987450e-07	3.109597e+00	3.802311e-07	3.888606e-07	-8.629478e-09
0.73          	1.982126e-07	3.105569e+00	3.801236e-07	3.882744e-07	-8.150825e-09
0.735         	1.975917e-07	3.101595e+00	3.416389e-07	3.684111e-07	-2.677222e-08
0.74          	1.968901e-07	3.097679e+00	4.351007e-07	4.144404e-07	2.066031e-08
0.745         	1.961161e-07	3.093818e+00	3.935120e-07	3.928721e-07	6.398713e-10
