# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.620556e+01 1.690785e-07 -7.291113e-26) (5.107602e-01 8.555965e-10 1.991423e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.723767e-18 -3.857173e-19 -3.800129e-17) (-1.093757e-20 -8.834140e-20 -5.796170e-12) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((1.468450e-01 -2.065530e-07 1.071685e-25) (4.539467e-01 1.903563e-09 -2.750388e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.602037e-20 -3.339963e-21 -1.673631e-18) (-3.710158e-21 -3.504974e-20 -2.392188e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((3.747104e-01 5.747447e-08 -2.368768e-26) (4.083018e-01 7.860943e-10 -1.632760e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.986662e-20 -8.918036e-21 3.904822e-19) (-3.642553e-21 -3.231648e-20 -2.061096e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((3.348065e-01 1.868437e-08 -1.547350e-27) (3.724983e-01 1.857900e-10 -1.852728e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.562475e-20 -7.968021e-21 2.286989e-20) (-3.221179e-21 -2.957419e-20 -2.266446e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((3.110300e-01 1.556029e-08 -9.421251e-28) (3.423353e-01 -2.945285e-10 -2.045116e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.308119e-20 -7.405977e-21 -7.623297e-19) (-2.881132e-21 -2.727218e-20 -2.371764e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((2.908219e-01 1.162664e-08 9.323367e-29) (3.166036e-01 -6.590221e-10 -2.241552e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-3.091976e-20 -6.928534e-21 4.861969e-19) (-2.595450e-21 -2.529641e-20 -2.413421e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((2.731715e-01 1.393985e-08 -9.563199e-29) (2.944377e-01 -9.160383e-10 -2.437216e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.903277e-20 -6.511509e-21 -1.673155e-19) (-2.355112e-21 -2.358490e-20 -2.407968e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((2.576141e-01 9.552517e-09 6.904671e-29) (2.752049e-01 -1.102152e-09 -2.629614e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.736924e-20 -6.143893e-21 -5.014435e-19) (-2.151452e-21 -2.209273e-20 -2.370066e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((2.438439e-01 1.094450e-08 1.139004e-28) (2.584189e-01 -1.226185e-09 -2.816956e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.589780e-20 -5.818290e-21 -5.941936e-19) (-1.978164e-21 -2.078496e-20 -2.307658e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((2.316310e-01 1.049263e-08 9.484684e-29) (2.436939e-01 -1.311611e-09 -2.997991e-21) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.459276e-20 -5.529425e-21 3.320369e-19) (-1.829952e-21 -1.963360e-20 -2.230998e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
