# Forces      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
# Time        forces(pressure viscous porous)	moments(pressure viscous porous)
0.005         	((1.609142e+01 -3.029689e-07 6.713321e-27) (3.030010e-01 -1.634849e-09 4.619443e-20) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.711479e-18 -3.830510e-19 -1.661540e-17) (2.953661e-19 4.497369e-20 5.603600e-11) (0.000000e+00 0.000000e+00 0.000000e+00))
0.01          	((2.098784e-01 2.939115e-07 -3.189146e-27) (2.430508e-01 1.957963e-09 -3.050612e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.284584e-20 -4.793776e-21 6.606857e-19) (3.518205e-21 -6.429686e-21 -1.811056e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.015         	((2.242315e-01 -6.144820e-08 3.991187e-27) (2.036169e-01 1.437063e-09 1.095150e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-2.379180e-20 -5.355713e-21 5.421011e-20) (3.794589e-21 -5.180440e-21 -1.766745e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.02          	((1.666745e-01 1.385535e-08 -3.673857e-27) (1.764035e-01 1.265441e-09 2.274780e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.770727e-20 -3.977826e-21 -1.863472e-19) (2.925176e-21 -4.546988e-21 -1.590078e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.025         	((1.503472e-01 1.110409e-09 1.292728e-27) (1.554011e-01 1.083067e-09 -3.558135e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.597454e-20 -3.584353e-21 -4.227753e-19) (2.698582e-21 -4.006124e-21 -1.399512e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.03          	((1.373300e-01 2.579213e-09 1.506741e-28) (1.388233e-01 9.485817e-10 -9.083228e-23) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.458731e-20 -3.275228e-21 1.685596e-19) (2.506993e-21 -3.578855e-21 -1.224725e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.035         	((1.264205e-01 2.225353e-09 2.206555e-28) (1.255584e-01 8.399235e-10 -1.393407e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.342459e-20 -3.017936e-21 2.286989e-19) (2.338714e-21 -3.237117e-21 -1.074323e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.04          	((1.172277e-01 2.288520e-09 1.445008e-28) (1.148174e-01 7.552752e-10 -1.813807e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.244162e-20 -2.801670e-21 1.279020e-19) (2.191040e-21 -2.960557e-21 -9.463546e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.045         	((1.094500e-01 2.317391e-09 1.395572e-28) (1.060221e-01 6.774068e-10 -2.179830e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.160662e-20 -2.618813e-21 3.059907e-19) (2.061805e-21 -2.734164e-21 -8.371503e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.05          	((1.028426e-01 2.042141e-09 3.303331e-28) (9.874158e-02 6.172610e-10 -2.497683e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.089731e-20 -2.463854e-21 9.781113e-19) (1.948995e-21 -2.546843e-21 -7.447669e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.055         	((9.719224e-02 2.109583e-09 2.132908e-28) (9.265048e-02 5.705914e-10 -2.776076e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-1.028842e-20 -2.331866e-21 4.298692e-19) (1.850123e-21 -2.390004e-21 -6.646119e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.06          	((9.232826e-02 1.949293e-09 2.920238e-28) (8.750105e-02 5.358509e-10 -3.023940e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.763036e-21 -2.218675e-21 5.747648e-19) (1.763278e-21 -2.257304e-21 -5.943157e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.065         	((8.811147e-02 1.798006e-09 3.116363e-28) (8.310317e-02 5.031305e-10 -3.244565e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-9.306624e-21 -2.121056e-21 1.840311e-19) (1.686617e-21 -2.143790e-21 -5.315228e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.07          	((8.443594e-02 1.780259e-09 3.028198e-28) (7.930969e-02 4.755771e-10 -3.441422e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.908482e-21 -2.036210e-21 6.113460e-19) (1.618489e-21 -2.045901e-21 -4.755489e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.075         	((8.121243e-02 1.801840e-09 3.309475e-28) (7.600606e-02 4.529624e-10 -3.617841e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.558241e-21 -1.961949e-21 5.998052e-19) (1.557619e-21 -1.960718e-21 -4.252724e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.08          	((7.836123e-02 1.632339e-09 3.608305e-28) (7.310284e-02 4.330064e-10 -3.779803e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-8.247326e-21 -1.896653e-21 2.600391e-19) (1.502991e-21 -1.885702e-21 -3.798313e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.085         	((7.582639e-02 1.614864e-09 3.195390e-28) (7.052975e-02 4.171039e-10 -3.927473e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.970374e-21 -1.839059e-21 7.792703e-20) (1.453749e-21 -1.819075e-21 -3.384957e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.09          	((7.355931e-02 1.908336e-09 2.582659e-28) (6.823131e-02 4.049688e-10 -4.063348e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.722266e-21 -1.788046e-21 1.518307e-19) (1.409109e-21 -1.759444e-21 -3.006618e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.095         	((7.152673e-02 1.621241e-09 2.369199e-28) (6.616332e-02 3.937825e-10 -4.187570e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.500356e-21 -1.742565e-21 -2.081583e-19) (1.368405e-21 -1.705891e-21 -2.659653e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.1           	((6.968927e-02 1.643224e-09 2.142091e-28) (6.429026e-02 3.846277e-10 -4.303040e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.297586e-21 -1.701725e-21 4.317750e-19) (1.331168e-21 -1.657268e-21 -2.339953e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.105         	((6.802388e-02 1.500884e-09 1.893183e-28) (6.258351e-02 3.754939e-10 -4.409540e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-7.112834e-21 -1.664947e-21 2.500865e-19) (1.297007e-21 -1.612924e-21 -2.044750e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.11          	((6.650757e-02 2.432775e-09 2.822049e-28) (6.101966e-02 3.730616e-10 -4.509620e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.943875e-21 -1.631713e-21 3.469659e-19) (1.265606e-21 -1.572219e-21 -1.772117e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.115         	((6.512509e-02 1.343522e-08 -3.180779e-27) (5.957958e-02 1.207336e-09 -4.603387e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.788995e-21 -1.601477e-21 -5.124549e-20) (1.236563e-21 -1.534752e-21 7.661038e-10) (0.000000e+00 0.000000e+00 0.000000e+00))
0.12          	((6.385888e-02 1.369863e-08 -3.425891e-27) (5.824756e-02 1.919088e-09 -4.690839e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.647209e-21 -1.574186e-21 1.171023e-19) (1.209759e-21 -1.500054e-21 1.528364e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.125         	((6.269559e-02 1.470937e-08 -3.537249e-27) (5.701043e-02 2.524772e-09 -4.772967e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.515948e-21 -1.549260e-21 6.556035e-19) (1.184927e-21 -1.467786e-21 2.145238e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
0.13          	((6.162390e-02 1.474400e-08 -3.716891e-27) (5.585714e-02 3.030845e-09 -4.850405e-22) (0.000000e+00 0.000000e+00 0.000000e+00)) ((-6.394369e-21 -1.526499e-21 9.994989e-20) (1.161873e-21 -1.437669e-21 2.644835e-09) (0.000000e+00 0.000000e+00 0.000000e+00))
